_id,Region,CountryName,Brand,Store Number,Ownership Type,City,State/Province,Country
6609d38a84cdd505fad6ed48,Europe,Andorra,Starbucks,47370-257954,Licensed,Andorra la Vella,7,AD
6609d38a84cdd505fad6ed49,Asia,United Arab Emirates,Starbucks,22331-212325,Licensed,Ajman,AJ,AE
6609d38a84cdd505fad6ed4a,Asia,United Arab Emirates,Starbucks,47089-256771,Licensed,Ajman,AJ,AE
6609d38a84cdd505fad6ed4b,Asia,United Arab Emirates,Starbucks,22126-218024,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed4c,Asia,United Arab Emirates,Starbucks,17127-178586,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed4d,Asia,United Arab Emirates,Starbucks,17688-182164,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed4e,Asia,United Arab Emirates,Starbucks,18182-182165,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed4f,Asia,United Arab Emirates,Starbucks,23359-229184,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed50,Asia,United Arab Emirates,Starbucks,30781-99022,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed51,Asia,United Arab Emirates,Starbucks,20423-205465,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed52,Asia,United Arab Emirates,Starbucks,20424-205466,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed53,Asia,United Arab Emirates,Starbucks,1579-122101,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed54,Asia,United Arab Emirates,Starbucks,32595-122105,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed55,Asia,United Arab Emirates,Starbucks,24191-236428,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed56,Asia,United Arab Emirates,Starbucks,24604-238367,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed57,Asia,United Arab Emirates,Starbucks,32029-110804,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed58,Asia,United Arab Emirates,Starbucks,29560-238539,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed59,Asia,United Arab Emirates,Starbucks,32239-100001,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed5a,Asia,United Arab Emirates,Starbucks,31719-103601,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed5b,Asia,United Arab Emirates,Starbucks,20008-200004,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed5c,Asia,United Arab Emirates,Starbucks,32767-131566,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed5d,Asia,United Arab Emirates,Starbucks,3886-141408,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed5e,Asia,United Arab Emirates,Starbucks,29539-254261,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed5f,Asia,United Arab Emirates,Starbucks,28809-251348,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed60,Asia,United Arab Emirates,Starbucks,34262-62540,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed61,Asia,United Arab Emirates,Starbucks,3178-141407,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed62,Asia,United Arab Emirates,Starbucks,34260-17877,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed63,Asia,United Arab Emirates,Starbucks,21605-213406,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed64,Asia,United Arab Emirates,Starbucks,1935-141406,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed65,Asia,United Arab Emirates,Starbucks,20113-195784,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed66,Asia,United Arab Emirates,Starbucks,34227-33225,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed67,Asia,United Arab Emirates,Starbucks,17361-180588,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed68,Asia,United Arab Emirates,Starbucks,15938-165686,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed69,Asia,United Arab Emirates,Starbucks,16453-170544,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed6a,Asia,United Arab Emirates,Starbucks,24085-235545,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed6b,Asia,United Arab Emirates,Starbucks,24932-239347,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed6c,Asia,United Arab Emirates,Starbucks,18469-188844,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed6d,Asia,United Arab Emirates,Starbucks,28810-251346,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed6e,Asia,United Arab Emirates,Starbucks,1897-120044,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed6f,Asia,United Arab Emirates,Starbucks,20772-207664,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed70,Asia,United Arab Emirates,Starbucks,2176-143834,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed71,Asia,United Arab Emirates,Starbucks,18530-169885,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed72,Asia,United Arab Emirates,Starbucks,24931-239348,Licensed,Abu Dhabi,AZ,AE
6609d38a84cdd505fad6ed73,Asia,United Arab Emirates,Starbucks,29306-253248,Licensed,Al Ain,AZ,AE
6609d38a84cdd505fad6ed74,Asia,United Arab Emirates,Starbucks,17291-169884,Licensed,Al Ain,AZ,AE
6609d38a84cdd505fad6ed75,Asia,United Arab Emirates,Starbucks,32640-131563,Licensed,Al Ain,AZ,AE
6609d38a84cdd505fad6ed76,Asia,United Arab Emirates,Starbucks,34332-97778,Licensed,Al Ain,AZ,AE
6609d38a84cdd505fad6ed77,Asia,United Arab Emirates,Starbucks,16257-166109,Licensed,Al Ain,AZ,AE
6609d38a84cdd505fad6ed78,Asia,United Arab Emirates,Starbucks,1926-141411,Licensed,Al Ain,AZ,AE
6609d38a84cdd505fad6ed79,Asia,United Arab Emirates,Starbucks,24510-238164,Licensed,Al Ain,AZ,AE
6609d38a84cdd505fad6ed7a,Asia,United Arab Emirates,Starbucks,17788-183965,Licensed,Al Ain,AZ,AE
6609d38a84cdd505fad6ed7b,Asia,United Arab Emirates,Starbucks,22963-226644,Licensed,Abu Dhabi,DU,AE
6609d38a84cdd505fad6ed7c,Asia,United Arab Emirates,Starbucks,23197-228761,Licensed,Abu Dhabi,DU,AE
6609d38a84cdd505fad6ed7d,Asia,United Arab Emirates,Starbucks,23549-231166,Licensed,Abu Dhabi,DU,AE
6609d38a84cdd505fad6ed7e,Asia,United Arab Emirates,Starbucks,15060-156348,Licensed,Al Barsha,DU,AE
6609d38a84cdd505fad6ed7f,Asia,United Arab Emirates,Starbucks,34291-80114,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed80,Asia,United Arab Emirates,Starbucks,27072-246650,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed81,Asia,United Arab Emirates,Starbucks,18751-188904,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed82,Asia,United Arab Emirates,Starbucks,18857-187024,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed83,Asia,United Arab Emirates,Starbucks,28908-251804,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed84,Asia,United Arab Emirates,Starbucks,32250-107405,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed85,Asia,United Arab Emirates,Starbucks,34211-17922,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed86,Asia,United Arab Emirates,Starbucks,34315-87671,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed87,Asia,United Arab Emirates,Starbucks,23213-228760,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed88,Asia,United Arab Emirates,Starbucks,30780-154130,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed89,Asia,United Arab Emirates,Starbucks,25406-240945,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed8a,Asia,United Arab Emirates,Starbucks,32329-111864,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed8b,Asia,United Arab Emirates,Starbucks,32741-141410,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed8c,Asia,United Arab Emirates,Starbucks,17787-183964,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed8d,Asia,United Arab Emirates,Starbucks,3183-143827,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed8e,Asia,United Arab Emirates,Starbucks,32571-107873,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed8f,Asia,United Arab Emirates,Starbucks,23973-234507,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed90,Asia,United Arab Emirates,Starbucks,32144-123448,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed91,Asia,United Arab Emirates,Starbucks,34219-17920,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed92,Asia,United Arab Emirates,Starbucks,32476-106835,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed93,Asia,United Arab Emirates,Starbucks,7073-204444,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed94,Asia,United Arab Emirates,Starbucks,18026-187444,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed95,Asia,United Arab Emirates,Starbucks,34284-65720,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed96,Asia,United Arab Emirates,Starbucks,32117-116426,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed97,Asia,United Arab Emirates,Starbucks,20347-204885,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed98,Asia,United Arab Emirates,Starbucks,49595-270099,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed99,Asia,United Arab Emirates,Starbucks,32292-111724,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed9a,Asia,United Arab Emirates,Starbucks,4141-147544,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed9b,Asia,United Arab Emirates,Starbucks,21600-213424,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed9c,Asia,United Arab Emirates,Starbucks,47514-254743,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed9d,Asia,United Arab Emirates,Starbucks,26471-239345,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed9e,Asia,United Arab Emirates,Starbucks,25879-242844,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6ed9f,Asia,United Arab Emirates,Starbucks,6137-116711,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6eda0,Asia,United Arab Emirates,Starbucks,3173-122109,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6eda1,Asia,United Arab Emirates,Starbucks,23212-228759,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6eda2,Asia,United Arab Emirates,Starbucks,34335-97976,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6eda3,Asia,United Arab Emirates,Starbucks,1801-136467,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6eda4,Asia,United Arab Emirates,Starbucks,31199-104340,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6eda5,Asia,United Arab Emirates,Starbucks,31853-109684,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6eda6,Asia,United Arab Emirates,Starbucks,28811-251347,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6eda7,Asia,United Arab Emirates,Starbucks,6106-148051,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6eda8,Asia,United Arab Emirates,Starbucks,34317-95971,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6eda9,Asia,United Arab Emirates,Starbucks,32269-114734,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6edaa,Asia,United Arab Emirates,Starbucks,34337-97975,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6edab,Asia,United Arab Emirates,Starbucks,4143-147546,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6edac,Asia,United Arab Emirates,Starbucks,30954-99024,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6edad,Asia,United Arab Emirates,Starbucks,1609-136468,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6edae,Asia,United Arab Emirates,Starbucks,34249-62099,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6edaf,Asia,United Arab Emirates,Starbucks,23863-233552,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6edb0,Asia,United Arab Emirates,Starbucks,31338-103600,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6edb1,Asia,United Arab Emirates,Starbucks,34209-17918,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6edb2,Asia,United Arab Emirates,Starbucks,34210-16835,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6edb3,Asia,United Arab Emirates,Starbucks,28258-250593,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6edb4,Asia,United Arab Emirates,Starbucks,32523-106836,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6edb5,Asia,United Arab Emirates,Starbucks,24927-239346,Licensed,Dubai,DU,AE
6609d38a84cdd505fad6edb6,Asia,United Arab Emirates,Starbucks,32328-123449,Licensed,Dubai,DU,AE
